id	string
1000151	u,活著的所有生物都陷入恐懼吧！\0
1000152	u,我將讓你們承受永不熄滅之火般的痛苦！\0
1000153	u,回歸土中...\0
1000154	u,瓦瑞卡！萬歲～\0
1000155	u,誰都無法阻擋我們！\0
1000156	u,動作太慢了！\0
1000157	u,瓦瑞卡！我先走了！\0
1000158	u,這是哪裏？我是誰？\0
1000159	u,啊...頭疼得很！我是誰？\0
1000160	u,這個傢伙。原來你就是惡魔！讓我變成這個模樣的惡魔！\0
1000161	u,啊...終於清醒了...謝謝...現在我終於可以休息了...\0
1000162	u,烏可勒馬蘇塔！\0
1000163	u,瑪吐納？\0
1000164	u,瑪拉克！吐巴林！沙巴拉查！\0
1000165	u,帕格立歐塔瑪！\0
1000166	u,以伊克魯斯的意志...接招吧！\0
1000167	u,阻擋我的人！絕不能原諒！\0
1000168	u,膚淺的傢伙們...\0
1000169	u,動力快要不夠了。\0
1000170	u,返回\0
1000171	u,天幣結轉到下個月了。\0
1000172	u,回合\0
1000173	u,頭獎\0
1000174	u,二獎\0
1000175	u,三獎\0
1000176	u,四獎\0
1000177	u,沒有中獎的彩券。\0
1000178	u,這次中獎號碼：\0
1000179	u,選擇上面的號碼\0
1000180	u,是誰在靠近這裡呀！\0
1000181	u,這裡是研究神聖魔法的地方。\0
1000182	u,讓你瞧瞧偉大的魔法之力！\0
1000183	u,你的力量也很強大。但是最好還是不要招惹高階魔法師。\0
1000184	u,我是山寨的主人巴洛達。哈哈哈！！！\0
1000185	u,那個山寨本來就是我巴洛達的。\0
1000186	u,哦！很有趣。\0
1000187	u,比想像中還厲害，我會再回來的~\0
1000188	u,可惡的魔法師們。\0
1000189	u,竟敢侵犯我們的土地!絕不會饒了你們!\0
1000190	u,你們也和那些邪惡魔法師同一路的嗎？\0
1000191	u,就因為這樣，所以我才不想和魔法師的手下戰鬥。\0
1000192	u,今天也是愉快的一天啊...\0
1000193	u,放火和掠奪是我們的專長。\0
1000194	u,讓我來偷光你囊中的東西！\0
1000195	u,你垂涎我所收藏的寶物嗎？那就找找看吧！哈哈哈！\0
1000196	u,大家聽好！西瑞恩回來了。全都膜拜吧…\0
1000197	u,卑賤的人類...全都低頭吧！\0
1000198	u,差得遠呢...\0
1000199	u,你們...就算打敗了我，也不要安心...\0
1000200	u,虛無的是...活人的欲望...\0
1000201	u,記住傲慢之塔崩潰的原因...\0
1000202	u,太貪婪的人類。太貪婪的貴族們。\0
1000203	u,太虛無。一切都太虛無...\0
1000204	u,哎呀，怎麼這麼多的人呢？\0
1000205	u,永生的祕密應該在某個地方。可惡的死天使們。\0
1000206	u,你們也在找永生的祕密嗎？\0
1000207	u,我絕對不會告訴你我所知道的東西。\0
1000208	u,是誰敢進來這裡？！\0
1000209	u,這裡不是人類可以進來的地方。趕快給我出去！\0
1000210	u,人類啊！難道你們不知道自己的愚鈍！\0
1000211	u,不行。不能到上面去。\0
1000212	u,哪個傢伙弄亂這沼澤？\0
1000213	u,決不能再次因為人類的貪慾而把沼澤荒廢掉。\0
1000214	u,是個勇敢的傢伙呢...\0
1000215	u,愚笨的傢伙啊...總有一天你們也會消失的。\0
1000216	u,有人進入這森林裏了...\0
1000217	u,這森林是個既安靜又平和的地方。\0
1000218	u,你留在這裡吧！這森林是非常好的地方。\0
1000219	u,我...我的靈魂...\0
1000220	u,這森林很危險。\0
1000221	u,若不立刻離開這裡，會發生很大的災禍。\0
1000222	u,趕快離開這裡！\0
1000223	u,為什麼漠視我的警告呢？\0
1000224	u,世上所有的哈里特啊...我賜予你們平安...\0
1000225	u,所有哈里特啊！鼓起勇氣吧！\0
1000226	u,讓我來吃掉你血紅的心臟！\0
1000227	u,我的哈里特啊...直到我再次回來之前...別放棄...希望...\0
1000228	u,巨人消失的世界！沒什麼可怕的！\0
1000229	u,你知道有關巨人的事嗎？他們的滅亡是理所當然的結果！\0
1000230	u,大膽！你竟敢向我挑戰！\0
1000231	u,你也是跟巨人差不多，是個邪惡的...傢伙...\0
1000232	u,這洞窟到現在還在啊！\0
1000233	u,這可算夠雄偉了吧！\0
1000234	u,你們是很勇敢的戰士。\0
1000235	u,巨人的時代果真不會再來了嗎？！\0
1000236	u,這些墳墓很不錯。\0
1000237	u,對亡者而言金銀財寶又有何用。\0
1000238	u,吝嗇的貴族傢伙。幹嘛將這些有用的東西埋起來呢！\0
1000239	u,吝嗇的傢伙。你好好的活吧你。\0
1000240	u,就算把這些亞丁人撕爛嚼碎來吃也不夠痛快！！\0
1000241	u,該受詛咒的亞丁人們！\0
1000242	u,呵...是亞丁的蠢蛋派來的暗殺者嗎？\0
1000243	u,我的怨恨解除不了的話..我將永遠詛咒你們！\0
1000244	u,我親愛的席琳女神...\0
1000245	u,我應該趕快幫席琳女神解開她的封印...\0
1000246	u,以席琳女神之名！懲罰你！\0
1000247	u,席琳女神...這個任務...總有一天...我會完成...\0
1000248	u,往永生之道...\0
1000249	u,貪求永生的人...到我這來。\0
1000250	u,把你變成讓我獲得永生的祭品吧！\0
1000251	u,快要獲得永生的我…竟然這樣虛無的被打敗...\0
1000252	u,札肯，你這卑鄙傢伙！\0
1000253	u,札肯，你不是已得到永生嗎？！\0
1000254	u,拜託...把我的身子還給我。\0
1000255	u,現在...我終於可以休息了吧...\0
1000256	u,怎麼這麼吵呢？\0
1000257	u,吉爾朵不喜歡喧嘩。\0
1000258	u,你們稍微安靜一下就好了...\0
1000259	u,如果吉爾朵生氣了，我可不管囉。\0
1000260	u,到底是哪個傢伙在附近？\0
1000261	u,這蘆葦草地是我的領地...\0
1000262	u,愚笨的傢伙！讓你們瞧瞧我的厲害！\0
1000263	u,過去的時代已流逝…新的時代要來臨了嗎…\0
1000264	u,這裡是伊娃女神的庭院。\0
1000265	u,伊娃女神的庭院是很神聖的地方。\0
1000266	u,你是在侮辱伊娃女神嗎？\0
1000267	u,就連你這樣無禮的人...伊娃女神都會以愛...袒護的。\0
1000268	u,這裡本來是屬於席琳女神的。\0
1000269	u,把宮殿交出來！伊娃的精靈啊！\0
1000270	u,為什麼妨礙我們呢？\0
1000271	u,席琳女神...席琳女神的...\0
1000272	u,懼怕法利昂的人...都離開這裡！\0
1000273	u,以法利昂之名，懲罰你們！\0
1000274	u,我的主人...請您原諒沒出息的我...\0
1000275	u,覺悟吧！你們這些異國的侵略者！這個要塞永遠的統治者，我古斯塔夫已舉起劍來！\0
1000276	u,賜予獅子王國亞丁光榮！賜予不死之君主古斯達夫光榮！\0
1000277	u,古斯達夫的戰士們，戰鬥吧！讓侵略者們死亡吧！\0
1000278	u,天啊...竟然被打敗了嗎？但我一定會再回來！回來拿下你們的頭顱！\0
1000279	u,難道這就是我的界限嗎...但是沒有古斯達夫的許可，我決不能倒下！\0
1000280	u,難道要再次嚐到失敗的恥辱嗎...但悲劇還沒結束...\0
1000281	u,我是執行法利昂意志的人！\0
1000282	u,開始販賣幸運彩票!!!\0
1000283	u,開始開獎幸運彩票!!!\0
1000284	u,這次第「$s1」回中獎號碼是「$s2」。恭喜中獎！\0
1000285	u,因限制年齡 無法購買彩票。\0
1000286	u,「$s1」！小心背後！！！\0
1000287	u,「$s1」！來，跟我單挑！\0
1000288	u,「$s1」！竟敢妨礙我們比武！大家幫幫我！\0
1000289	u,我來幫你！我們最討厭卑鄙了！！！\0
1000290	u,究極力量啊！！！！\0
1000291	u,所有人對「$s1」集中攻擊！\0
1000292	u,遵命。\0
1000293	u,這個你就不知道了吧！\0
1000294	u,出來！黑暗的孩子們！\0
1000295	u,召喚我的戰友們啊！\0
1000296	u,主人！您找我嗎？\0
1000297	u,愚笨的傢伙！\0
1000298	u,這招如何！\0
1000299	u,好厲害，「$s1」！這是最後一次！\0
1000300	u,黎明\0
1000301	u,黃昏\0
1000302	u,無\0
1000303	u,這個世界即將滅亡！\0
1000304	u,詛咒你！\0
1000305	u,審判的日子即將來臨！\0
1000306	u,祝福你！\0
1000307	u,先殺弱者，這就是戰鬥之道！\0
1000308	u,金幣\0
1000309	u,古代的金幣\0
1000310	u,黃昏\0
1000311	u,黎明\0
1000312	u,未滿32級\0
1000313	u,未滿43級\0
1000314	u,未滿54級\0
1000315	u,未滿65級\0
1000316	u,無限制\0
1000317	u,2分鐘後開始舉行黑暗的祭典。請踴躍參加。\0
1000318	u,黑暗的祭典正式開始。\0
1000319	u,5分鐘後黑暗的祭典將要結束。\0
1000320	u,2分鐘後黑暗的祭典將要結束。請準備下回合的挑戰。\0
1000321	u,七封印貢獻度提升了「$s1」。\0
1000322	u,沒有記錄\0
1000324	u,<a action="bypass -h menu_select?ask=-2&reply=324">劍鬥士</a><br>\0
1000325	u,<a action="bypass -h menu_select?ask=-2&reply=325">傭兵</a><br>\0
1000327	u,<a action="bypass -h menu_select?ask=-2&reply=327">聖騎士</a><br>\0
1000328	u,<a action="bypass -h menu_select?ask=-2&reply=328">闇騎士</a><br>\0
1000330	u,<a action="bypass -h menu_select?ask=-2&reply=330">寶藏獵人</a><br>\0
1000331	u,<a action="bypass -h menu_select?ask=-2&reply=331">鷹眼</a><br>\0
1000334	u,<a action="bypass -h menu_select?ask=-2&reply=334">術士</a><br>\0
1000335	u,<a action="bypass -h menu_select?ask=-2&reply=335">死靈法師</a><br>\0
1000336	u,<a action="bypass -h menu_select?ask=-2&reply=336">法魔</a><br>\0
1000338	u,<a action="bypass -h menu_select?ask=-2&reply=338">主教</a><br>\0
1000339	u,<a action="bypass -h menu_select?ask=-2&reply=339">先知</a><br>\0
1000342	u,<a action="bypass -h menu_select?ask=-2&reply=342">聖殿騎士</a><br>\0
1000343	u,<a action="bypass -h menu_select?ask=-2&reply=343">劍術詩人</a><br>\0
1000345	u,<a action="bypass -h menu_select?ask=-2&reply=345">大地行者</a><br>\0
1000346	u,<a action="bypass -h menu_select?ask=-2&reply=346">銀月遊俠</a><br>\0
1000349	u,<a action="bypass -h menu_select?ask=-2&reply=349">咒術詩人</a><br>\0
1000350	u,<a action="bypass -h menu_select?ask=-2&reply=350">元素使</a><br>\0
1000352	u,<a action="bypass -h menu_select?ask=-2&reply=352">長老</a><br>\0
1000355	u,<a action="bypass -h menu_select?ask=-2&reply=355">席琳騎士</a><br>\0
1000356	u,<a action="bypass -h menu_select?ask=-2&reply=356">劍刃舞者</a><br>\0
1000358	u,<a action="bypass -h menu_select?ask=-2&reply=358">深淵行者</a><br>\0
1000359	u,<a action="bypass -h menu_select?ask=-2&reply=359">闇影遊俠</a><br>\0
1000362	u,<a action="bypass -h menu_select?ask=-2&reply=362">狂咒術士</a><br>\0
1000363	u,<a action="bypass -h menu_select?ask=-2&reply=363">闇影召喚士</a><br>\0
1000365	u,<a action="bypass -h menu_select?ask=-2&reply=365">席琳長老</a><br>\0
1000368	u,<a action="bypass -h menu_select?ask=-2&reply=368">破壞者</a><br>\0
1000370	u,<a action="bypass -h menu_select?ask=-2&reply=370">暴君</a><br>\0
1000373	u,<a action="bypass -h menu_select?ask=-2&reply=373">霸主</a><br>\0
1000374	u,<a action="bypass -h menu_select?ask=-2&reply=374">戰狂</a><br>\0
1000377	u,<a action="bypass -h menu_select?ask=-2&reply=377">賞金獵人</a><br>\0
1000379	u,<a action="bypass -h menu_select?ask=-2&reply=379">戰爭工匠</a><br>\0
1000380	u,祭物很充足！！我將立刻把你移動到外面！\0
1000381	u,「$s1」！小心背後！\0
1000382	u,後面破綻太多!\0
1000383	u,竟敢連理都不理!瞧不起是嗎？\0
1000384	u,「$s1」！來單挑啊！\0
1000385	u,「$s1」！來比武吧！\0
1000386	u,「$s1」！決鬥吧！誰也不准來妨礙！\0
1000387	u,「$s1」！你的命我收下啦！\0
1000388	u,「$s1」！竟敢妨礙我們比武！各位！\0
1000389	u,比武結束了!大家進攻!\0
1000390	u,犯規!大家快給我處決卑劣者!\0
1000391	u,竟敢妨礙神聖的決鬥!絕對饒不了你們!\0
1000392	u,卑劣者!去死吧!\0
1000393	u,妨礙者給我消失!\0
1000394	u,將卑劣者處死吧!\0
1000395	u,沒想到竟會對乳臭未乾的小子使用這招!\0
1000396	u,想贏我，還早的很呢!\0
1000397	u,現在開始才是真正的決鬥!\0
1000398	u,先將「$s1」擊倒！\0
1000399	u,集中攻擊！目標是「$s1」！\0
1000400	u,攻擊!攻擊!\0
1000401	u,開始集中攻擊!\0
1000402	u,收到!!!!\0
1000403	u,各位!出來吧!\0
1000404	u,黑暗的軍勢啊，跟隨我吧!\0
1000405	u,兄弟們啊，消滅敵人吧!\0
1000406	u,現在才是真正的開始!\0
1000407	u,我太小看你們了!那麼就認真地對付你們吧!\0
1000408	u,愚蠢的傢伙!到現在只不過是練習而已!\0
1000409	u,讓你瞧瞧我真正的力量!\0
1000410	u,真正的決鬥現在才開始呢!\0
1000411	u,真是好久沒有碰到讓我熱血沸騰的對手!\0
1000412	u,真意外!竟能把我逼到這地步!\0
1000413	u,讓我用百分之兩百的戰鬥力來對付你!\0
1000414	u,終於到了最後!送你赴黃泉吧!\0
1000415	u,大家等著絕望吧!死亡女神即將要降臨了!\0
1000416	u,大家等著絕望吧!滅亡的預言即將就要實現了!\0
1000417	u,聆聽滅亡的預言吧!末日時代即將要來臨了!\0
1000418	u,「$s1」！從你身上可以看到滅亡的徵兆！\0
1000419	u,「$s1」！讓你嚐嚐絕望的感覺！\0
1000420	u,活在末日時代的人啊，絕望吧!\0
1000421	u,聆聽黑暗的啟示吧!沉睡中的黑暗甦醒了!\0
1000422	u,聆聽黑暗的啟示吧!渾沌的時代已經開始了!\0
1000423	u,聆聽黑暗的啟示吧!死亡的樂園即將來臨了!\0
1000424	u,「$s1」！賜給你啟示的祝福！\0
1000425	u,「$s1」！賜給你深淵的權能！\0
1000426	u,開啟新時代的人啊，甦醒吧!\0
1000427	u,先殺弱者是戰鬥的法則!\0
1000428	u,虛弱的傢伙!先讓你下地獄!\0
1000429	u,這些祭物就夠了!馬上就送你出去，準備吧!\0
1000430	u,平手\0
1000431	u,為了展示珍貴的精品，我來找各位啦！\0
1000432	u,為了展示最高級的武具，我來找各位啦！\0
1000433	u,東奔西跑的到處出差，忙的不得了!\0
1000434	u,竟敢欺負弱者!絕對無法饒恕!\0
1000435	u,來幫你了!喝啊!\0
1000436	u,以正義之名!\0
1000437	u,以光輝!以榮譽!\0
1000438	u,正義為弱者而存在!\0
1000439	u,還撐得住嗎!？再忍耐一會兒吧!\0
1000440	u,我的名字？你們不配將我的名字掛在嘴上!\0
1000441	u,可以申請\0
1000442	u,「$s1」分\0
1000443	u,將「$s1」城的守城人員傳送至內城。\0
1000444	u,星期日\0
1000445	u,星期一\0
1000446	u,星期二\0
1000447	u,星期三\0
1000448	u,星期四\0
1000449	u,星期五\0
1000450	u,星期六\0
1000451	u,點\0
1000452	u,將最後的詛咒...！一起下地獄吧！\0
1000453	u,2分鐘後黑暗的祭典將要結束\0
1000454	u,貴族通行證\0
1000455	u,現在已經過了\0
1000456	u,分鐘。\0
1000457	u,挑戰已結束。稍後將自動進行傳送\0
1000458	u,像在地上爬行的蟲子的人啊，百眼惡魔的慈悲與偉大是無限的！哈哈哈！\0
1000459	u,想要與我百眼的惡魔敵對之人，就要具備一定的實力才行~！\0
1000460	u,被封印在大地的愚蠢傢伙們啊，因為那沉重的身體受苦啦。讓本惡魔來減輕那苦痛吧。\0
1000461	u,像你們這樣脆弱又愚笨的種族，是無法與我為敵的！哈哈哈哈！ \0
1000462	u,侵犯百眼的惡魔領地的愚者啊，付出代價吧！\0
1000463	u,這就是偉大的眼怪之主-百眼惡魔的恩典！哈哈哈！\0
1000464	u,「$s1」已榮登席格爾騎士之中，登峰造極的英雄！恭喜您！\0
1000465	u,「$s1」已榮登提爾鬥士之中，登峰造極的英雄！恭喜您！\0
1000466	u,「$s1」已榮登歐瑟遊俠之中，登峰造極的英雄！恭喜您！\0
1000467	u,「$s1」已榮登尤爾弓手之中，登峰造極的英雄！恭喜您！\0
1000468	u,「$s1」已榮登菲歐巫師之中，登峰造極的英雄！恭喜您！\0
1000469	u,「$s1」已榮登伊斯法師之中，登峰造極的英雄！恭喜您！\0
1000470	u,「$s1」已榮登維因召喚士之中，登峰造極的英雄！恭喜您！\0
1000471	u,「$s1」已榮登艾羅牧師之中，登峰造極的英雄！恭喜您！\0
1000472	u,**未登錄**\0
1000473	u,**未登錄**\0
1000474	u,**未登錄**\0
1000475	u,**未登錄**\0
1000476	u,**未登錄**\0
1000477	u,**未登錄**\0
1000478	u,**未登錄**\0
1000479	u,**未登錄**\0
1000480	u,**未登錄**\0
1000481	u,**未登錄**\0
1000482	u,**未登錄**\0
1000483	u,**未登錄**\0
1000484	u,**未登錄**\0
1000485	u,**未登錄**\0
1000486	u,**未登錄**\0
1000487	u,**未登錄**\0
1000488	u,**未登錄**\0
1000489	u,**未登錄**\0
1000490	u,**未登錄**\0
1000491	u,**未登錄**\0
1000492	u,**未登錄**\0
1000493	u,**未登錄**\0
1000494	u,**未登錄**\0
1000495	u,**未登記**\0
1000496	u,**未登錄**\0
1000497	u,**未登錄**\0
1000498	u,**未登錄**\0
1000499	u,**未登錄**\0
1000500	u,從現在起可以進入陵墓內。\0
1000501	u,若將手放在四大陵墓的石像上，就可以進入陵墓內。\0
1000502	u,為競爭者創造了妨礙的怪物。\0
1000503	u,感謝您幫我找來。\0
1000504	u,未滿「$s1」名 \0
1000505	u,「$s1」名以上\0
1000506	u,點數\0
1000507	u,競爭\0
1000508	u,有效封印\0
1000509	u,準備\0
1000510	u,黃昏\0
1000511	u,黎明\0
1000512	u,無擁有\0
1000513	u,此地對「$s1」來說是個危險之地，請回吧。\0
1000514	u,是誰在侵擾這神聖的沉眠\0
1000515	u,盜墓者啊，給我退下！這裡是我們的安息之地！\0
1000516	u,黑斯吐伊一族啊，不要再來煩我們！\0
1000517	u,卡卡伊啊，你將永無寧日。\0
1000518	u,見習旅者的標章\0
1000519	u,竟敢向我這火焰的支配者挑戰？「$s1」！！！！\0
1000520	u,「$s1」！！！！以你那微弱的力量，竟然妄想能擊敗我？\0
1000521	u,連神都奈何不了我，而「$s1」你竟敢向我挑戰？真是可笑！\0
1000522	u,憎恨的鎮魂曲\0
1000523	u,狂喜的賦格曲\0
1000524	u,疾走的托卡塔曲\0
1000525	u,魅惑的馬厝卡舞曲\0
1000526	u,悲哀的讚美詩\0
1000527	u,孤獨的迴旋曲\0
1000528	u,奧林匹亞標章\0
1001000	u,亞丁王國\0
1001001	u,古魯丁\0
1001002	u,狄恩\0
1001003	u,奇岩\0
1001004	u,歐瑞\0
1001005	u,亞丁\0
1001006	u,因納得立\0
1001100	u,艾爾摩王國\0
1001007	u,高達特\0
1001008	u,魯因\0
1001009	u,修加特\0
1010001	u,說話之島村莊\0
1010002	u,精靈村莊\0
1010003	u,黑暗精靈村莊\0
1010004	u,古魯丁村莊\0
1010005	u,古魯丁城鎮\0
1010006	u,狄恩城鎮\0
1010007	u,奇岩城鎮\0
1010008	u,半獸人村莊\0
1010009	u,矮人村莊\0
1010010	u,黑暗精靈森林南部\0
1010011	u,東北海岸\0
1010012	u,荒地南方入口\0
1010013	u,歐瑞城鎮\0
1010014	u,象牙塔\0
