id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
48	7	0	0	-114212.00000000	245920.00000000	-3680.00000000	u,在古代由精靈教授魔法給人類的島嶼。由於魔法而變大的聲音，卻被當時未開化的人類誤認為是來自島嶼的聲音，因此才會命名為說話之島。\0	30	u,說話之島\0
49	3	0	0	-114358.00000000	255884.00000000	-1512.00000000	u,生活在說話之島的人類之居處。自古以來這座島是屬於魔法師們的修練場地，但隨著移居民的遽增，自然而然也就形成了一個村莊。可是自從教授魔法的教師們從精靈轉換到人類之後，精靈的氣氛逐漸消失，如今已成為一個夢想成為冒險家的人類所專訪的地方。\0	30	u,說話之島村莊\0
57	1	17	0	-63736.00000000	101522.00000000	-3552.00000000	u,分布在帕米爾湖西部長長的一個地區，而且也是花崗石的產區。主要棲息著蜘蛛、蜜蜂、蜥蜴人等。\0	30	u,帕米爾採集場\0
58	1	20	0	-75437.00000000	168800.00000000	-3632.00000000	u,位於古魯丁村莊南部，山坡上有一些利用從海上吹來的風來加工穀物的風車。以前主要加工在古魯丁生產的穀物，但現在也會經常從狄恩運輸穀物來進行加工。\0	30	u,風車的山坡\0
59	1	19	0	-50174.00000000	129303.00000000	-2912.00000000	u,延伸至悲哀廢墟的入口，棲息著一群不死怪物。\0	30	u,悲哀廢墟入口\0
60	1	14	0	-6989.00000000	109503.00000000	-3040.00000000	u,從古魯丁城鎮前往中立地帶的路途。以狼人為首，會出現各種魔物並襲擊人類。\0	30	u,魔物的掠奪地\0
61	1	19	0	-36652.00000000	135591.00000000	-3160.00000000	u,延伸至絕望廢墟的入口，棲息著一群不死怪物。\0	30	u,絕望廢墟入口\0
62	1	22	0	-28327.00000000	155125.00000000	-3496.00000000	u,屬於柯林 溫達伍德閣下的領地，但如今卻由豺狼在佔據當中。\0	30	u,溫達伍德莊園\0
63	1	22	0	-6661.00000000	201880.00000000	-3632.00000000	u,曾屬於柯林 溫達伍德閣下的領地，如今已完全落入豺狼的手中。\0	30	u,豺狼監視站\0
64	2	36	0	-26489.00000000	195307.00000000	-3928.00000000	u,在荒原內部螞蟻洞窟旁邊的螞蟻孵化場。主要棲息著一群幼蟻和護衛螞蟻。\0	30	u,螞蟻孵化場\0
66	1	15	0	-10612.00000000	75881.00000000	-3592.00000000	u,紛爭不斷的精靈和黑暗精靈透過協議而建造的非戰爭地區。這兩個種族以此地區的江為界線劃分了地區，並決定將其周邊地區指定為中立地帶。目前在兩邊的邊境各安排了種族的警衛，以防止渡江入侵來破壞和平。\0	30	u,中立地帶\0
67	0	0	0	0.00000000	0.00000000	0.00000000	u,亞丁大陸中央部的重要地區。以象牙塔的魔法師為首，這個領地內聚集著精靈、黑暗精靈這些龐大勢力，並以強悍的軍事力量壓制著其他龐大的勢力。\0	67	u,歐瑞領地\0
68	1	8	0	21362.00000000	51122.00000000	-3688.00000000	u,以世界樹為中心擴展開來的精靈之居處。有一些太初的生物與精靈共居此地。\0	67	u,精靈森林\0
69	1	1	0	50953.00000000	42105.00000000	-3480.00000000	u,在精靈森林中籠罩在世界樹影響力之下的地方，被稱之為世界樹的樹蔭。世界樹是成為精靈社會中心的太初之樹。據說諸神使用其樹葉創造了精靈一族。\0	67	u,世界樹的樹蔭\0
70	3	0	0	46951.00000000	51550.00000000	-2976.00000000	u,自太初以來，精靈一族在世界樹的庇護之下，與森林共存的地方，也可說是精靈的起源地。長久的歲月以來，精靈一族的12長老在這個森林周邊佈下了強悍的結界，以阻止他種族靠近此地，但如今為了配合社會的開放氣氛，結界的威力幾乎消失不在。\0	67	u,精靈村莊\0
71	2	10	0	29294.00000000	74968.00000000	-3776.00000000	u,在人類與精靈的戰爭時期，為了最後一次的決戰而建造的要塞兼防空壕。之後，在與黑暗精靈的戰爭時期也被用作為主要據點。戰爭以後此地被遭到遺棄，如今卻已成為怪物的棲息地。\0	67	u,精靈的地底要塞\0
72	7	0	0	51469.00000000	82600.00000000	-3312.00000000	u,位於精靈森林南部的湖。它不僅是對世界樹供應水的水源地，也是讓精靈村莊賴以維生的重要命脈。分布著強烈的精靈之力。\0	67	u,愛麗絲湖\0
73	1	85	0	-22224.00000000	14168.00000000	-3232.00000000	u,過去此地是個非常美麗的森林，但是受到死在褐色精靈們手中的木之精靈長老們的詛咒之後，轉化為永久歪曲的面貌。但是自從褐色精靈們為了避開陽光而躲進地下之後，此地長期被擱置，即使精靈們盡全力想要恢復森林的原貌，依然處於既黑暗又潮濕的狀態。如今此地已成為重返地上世界的黑暗精靈們的根據地。\0	67	u,魔物祭壇\0
74	3	0	0	25934.00000000	11037.00000000	-3720.00000000	u,侍奉著被其他種族視為惡兆之神的席琳之神殿，也是黑暗精靈種族靈性之力的起源地。過去曾被人類封印起來的黑暗精靈族長 米特拉爾，在此地為一族擔任著精神支柱的角色。\0	67	u,席琳神殿\0
75	3	0	0	9709.00000000	15566.00000000	-4500.00000000	u,在薄霧山脈的巨大洞窟內定居的黑暗精靈的村莊。黑暗精靈受到了樹木精靈的詛咒之後，他們的體質變得難以適應陽光，而這個村莊就是在當時定居薄霧山脈深處的時候所建立的地方。\0	67	u,黑暗精靈村莊\0
77	1	87	0	-20023.00000000	50151.00000000	-3688.00000000	u,在黑暗精靈森林另一端的巨大沼澤地帶。受到席琳的影響之後，籠罩著一片暗紅的雲霧，滲透了鮮紅的血。目前由一群聞到血腥味而聚集此地的高階怪物在佔據著此地。\0	67	u,血之沼澤\0
78	7	0	0	-44566.00000000	77508.00000000	-3736.00000000	u,當黑暗精靈舉行成人儀式時所使用的祭壇。由於各種緣故，現在已不再舉行成人儀式。\0	67	u,黑暗精靈成人祭壇\0
79	1	40	0	64328.00000000	26803.00000000	-3768.00000000	u,為了爭奪大陸的霸權而戰的精靈與人類之戰役中，這裡曾是引起過最激烈的戰鬥之地。由於此地凝聚了過多的魔法能量，導致破壞了先前所具有的自然生態界，使生物無法生存。這個孢子之海的範圍日漸擴展，因此象牙塔的魔法師們在腐海周邊建立了結界之塔，以阻止它的擴展。\0	67	u,孢子之海\0
80	5	0	0	87091.00000000	-20354.00000000	-2072.00000000	u,在歐瑞和艾爾摩之間所引起的漫長戰爭後產生的獸人族逃兵所定居的地方。在具有號召力的領導者旗下變得更有組織化，如今已成為在整個歐瑞馳名的山賊團。\0	67	u,山賊城寨\0
81	3	0	0	85391.00000000	16228.00000000	-3640.00000000	u,歐瑞的象牙塔建立在一個在古代因墜落的隕石而形成的類似噴火口的地形中央。當初是為了研究在隕石的著落點所發現的具有神祕力量的岩石而建造的建築物，但其規模日漸增大，之後就成了魔法師們的總部。被稱之為隕石的神祕石頭，據說是擁有可以增強魔法攻擊力的力量，而且目前被放置在象牙塔的地下深處。\0	67	u,象牙塔\0
82	3	0	0	82971.00000000	53207.00000000	-1470.00000000	u,歐瑞北部地區由於經常與艾爾摩王國引起戰爭，因此總是免不了損害的發生。此地的居民身上流的是艾爾摩王國北方的血統，因此比起亞丁更身懷艾爾摩的文化風格。另外，歐瑞的軍事文化也影響了整個村莊的氣氛。由於慣常的寒帶氣候，生產很多針葉樹，而生產木材是此地區的主要產業。\0	67	u,歐瑞城鎮\0
83	3	0	0	78189.00000000	36936.00000000	-2560.00000000	u,為軍事目的而建造的粗糙的城，受到了艾爾摩風格的影響。\0	67	u,歐瑞城\0
84	1	83	0	87252.00000000	85514.00000000	-3103.00000000	u,在歐瑞與奇岩邊境的草原，本來被稱為「歐瑞大平原」，但由於適當的氣候吸引了里多蜥蜴人一族定居此地，而看到這個光景的人類抱著輕蔑與輕視的心態，將此地命名為「蜥蜴草原」。\0	67	u,蜥蜴草原\0
85	1	83	0	84517.00000000	62538.00000000	-3480.00000000	u,位於歐瑞城南部的賽爾豺狼的戰鬥訓練所。賽爾豺狼們會在此地接受一段時間的戰術訓練之後，再投入實戰。\0	67	u,權能培訓場\0
89	1	40	0	67097.00000000	68815.00000000	-3648.00000000	u,鄰近精靈領地的提瑪克獸人的基地。但是多虧有高山的阻擋，因此不會和精靈發生任何衝突。\0	67	u,提瑪克前哨基地\0
90	1	40	0	85391.00000000	16228.00000000	-3640.00000000	u,圍繞著歐瑞象牙塔的噴火口。據說是在古代由隕石墜落後形成的痕跡。\0	67	u,象牙塔噴火口\0
91	1	45	0	93218.00000000	16969.00000000	-3904.00000000	u,象牙塔噴火口周邊的森林。由於藉由隕石之力而變強的一群怪物，此處變得非常危險。\0	67	u,魔道的森林\0
92	1	50	0	91539.00000000	-12204.00000000	-2440.00000000	u,山賊城寨周邊的森林，山賊團的怪物們主張這裡是屬於牠們的領域。\0	67	u,無法者的森林\0
93	7	0	0	61740.00000000	94946.00000000	-1488.00000000	u,劃分黑暗精靈地區和精靈地區的山脈。這座山脈的山頂部分整年都被籠罩在雲霧之中，因此才會命名為薄霧山脈。\0	67	u,薄霧山脈\0
94	7	0	0	58502.00000000	53453.00000000	-3624.00000000	u,位於世界樹的樹蔭東邊的瀑布。掉落下來的水氣如同星光般，因此才會取名為星光的瀑布。\0	67	u,星光的瀑布\0
95	7	0	0	-7233.00000000	57006.00000000	-3520.00000000	u,位於沼澤地帶北部的瀑布，保留著強烈的水的精靈之力的地方。\0	67	u,水精的瀑布\0
96	7	0	0	70456.00000000	6591.00000000	-3632.00000000	u,位於魔道的森林西部的瀑布。由於雄壯的外觀，人類將此地稱之為諸神的祭壇。\0	67	u,諸神的祭壇瀑布\0
97	0	0	0	0.00000000	0.00000000	0.00000000	u,建有亞丁王國最大城的領地。亞丁城與城鎮形成一個龐大的領地，其雄偉的外觀和規模皆屬大陸第一，因此即使用軍事武力也難以侵略這個地方。\0	97	u,亞丁領地\0
98	2	60	0	114649.00000000	11115.00000000	-5120.00000000	u,艾爾摩亞丁帝國時期的巴溫皇帝為求永生而建造的塔。但是這座塔最終惹火了殷海薩，受到了神之懲罰。根據傳說，巴溫最終還是得到了長生不老的秘訣，但作為其代價永遠被困於塔內因而瘋狂。\0	97	u,傲慢之塔\0
99	1	65	0	155310.00000000	-16339.00000000	-3320.00000000	u,亞丁和艾爾摩國境之間的火熱的熔岩地帶。這裡也是在過去亞丁-艾爾摩戰爭時期，即便在不力的狀況下，阿瑪戴歐國王卻以天賦的領導性首次戰勝的地方。如今卻由一群強悍的怪物定居此地。\0	97	u,燃燒的沼澤\0
100	5	0	0	178358.00000000	-14192.00000000	-2256.00000000	u,與艾爾摩王國引起屢次的戰鬥之後，變成廢墟的城堡。本來是為了防範北部的艾爾摩、東方的阿貝拉等其他異民族的侵略而建造的大規模的城，但在數十年前，在與艾爾摩的戰爭之後，導致外圍的大型城牆局部遭到了破損，內部城堡也幾乎全遭破滅，而居民們也都被遭到了大屠殺。尤其是艾爾摩侵略軍在井水中參雜了毒藥，使得無數的居民們因而中毒身亡。之後，大家都說這座城堡是出現亡靈的不吉利的地方，因此不再有人靠近。\0	97	u,毀壞的城堡\0
101	1	95	0	188611.00000000	20588.00000000	-3696.00000000	u,根據傳說，這個封印是由初代皇帝 史奈曼所阻塞的路途。這裡是從天上貶下凡間的席琳女神，生下魔物後自願成為死神的地方-「席琳聖地」。如今此地卻充斥著想要解除那個封印的怪物，因此變得非常危險。\0	97	u,席琳封印\0
102	2	80	0	181737.00000000	46469.00000000	-4276.00000000	u,在神話時代，未能來得及逃往遺忘高原的巨人們，為了躲避殷海薩神充滿憤怒的眼神，於是躲進高原附近的洞穴中定居了起來。隨著長久時間的流逝，這些巨人逐漸退化，智能也跟著降低，失去了所有高等種族該有的格調，沒落為下等魔物的水準。可是即使這些巨人已退化，但他們龐大的身軀和力量，依然讓人類感到恐懼。\0	97	u,巨人洞穴\0
103	1	45	0	124904.00000000	61992.00000000	-3973.00000000	u,謠傳妖精族在艾爾摩亞丁時代已遭到滅族，但事實上牠們藏匿在這個峽谷中維持著種族的命脈。精靈粉末或翅膀等曾被列為珍貴的收藏品，因而深得艾爾摩亞丁貴族們的喜愛，也因此妖精們遭到濫殺，使得牠們面臨了滅族的險境。但是妖精之王 艾貝里烏斯率領了全族移居到此地，至今也隱居在這個地方。\0	97	u,妖精谷\0
104	1	50	0	167047.00000000	20304.00000000	-3328.00000000	u,埋葬著艾爾摩亞丁帝國時期的王族之墓地。如有高階貴族和聖人逝世的話，至今也會安葬於此地，而亞丁王國的統一王 拉烏爾也被葬於此地。但是自從城堡遭到遺棄之後，國立墓地的管理也漸疏忽，導致最近盜墓行為日漸猖獗。\0	97	u,國立墓地\0
105	1	40	0	142065.00000000	81300.00000000	-3000.00000000	u,連陽光也很難照進來的既大又茂盛的森林。聽說此地棲息著席琳的魔物之一「鏡之森林亡靈」，只要有人踏入這個森林的話，牠就會奪走他們的記憶。而且，也有人表示曾遇見過長相與自己一模一樣的人。\0	97	u,鏡之森林\0
106	7	0	0	166182.00000000	91560.00000000	-3168.00000000	u,藉由格蘭肯神之力創造出「遺忘高原」的時候，原本就在此地的小瀑布經由急速的地形變化，轉變成了高達數千公尺的巨型瀑布。由於這是藉由神之力而形成的瀑布，因此被稱為昂赫瀑布。\0	97	u,昂赫瀑布\0
107	3	0	0	146783.00000000	25808.00000000	-2000.00000000	u,位於亞丁城外城內部，是個既雄壯又華麗的大規模城鎮，可以直接感受到亞丁發達的文化。無愧為亞丁王國的首都，其規模以及雄偉的外觀等，都無法與其他城鎮相提並論。但是相對地，在城鎮下方形成的龐大的貧民村，可以讓人感受到頗大的貧富差距。\0	97	u,亞丁城鎮\0
108	3	0	0	117088.00000000	76931.00000000	-2670.00000000	u,位於亞丁南部的一個村莊，自古以來，在這周邊有很多怪物出現頻繁的危險獵場。所以，早在很久以前就開始聚集了很多專業的獵人和覬覦懸賞金的獵人，自然也就形成了一個村莊。由於這些原由，至今也被稱為獵人村莊。\0	97	u,獵人村莊\0
109	7	0	0	158141.00000000	-24543.00000000	-1288.00000000	u,建立在艾爾摩王國國境的守備隊崗哨。由於此地國境紛爭不斷，而且是多山地帶，所以沒有大型的建築，只有設立警衛崗哨。崗哨的體積雖小，但卻保有相當多的國境守備隊隊員，警戒嚴森。往南部則可到達燃燒的沼澤、殺戮的大地以及毀壞的城堡。\0	97	u,東部國境守備隊\0
110	6	0	0	146440.00000000	46723.00000000	-3400.00000000	u,從艾爾摩亞丁時期開始留傳下來的戰鬥遺蹟。如今卻是個用來舉辦大型血盟間的戰鬥、決鬥以及活動的場所。\0	97	u,大圓形競技場\0
111	7	0	0	146440.00000000	46723.00000000	-3400.00000000	u,位於亞丁領地中央的大湖。在湖邊碼頭不但可以釣魚，而且也能乘船來觀賞風景。在中央地區有個大圓形競技場。\0	97	u,拿爾瑟湖\0
112	3	0	0	147461.00000000	9898.00000000	-592.00000000	u,亞丁王國最大的城。亞丁城是由流傳給極為少數者的建築技術，以下巨人建築風格為基礎而建造的城。其雄偉的外觀和規模皆屬大陸第一，因此即使用軍事武力也難以侵略這個地方。\0	97	u,亞丁城\0
113	1	64	0	106517.00000000	-2871.00000000	-3454.00000000	u,在過去艾爾摩和亞丁之間的戰爭中，曾引起過最激烈一戰的戰場。位於國境守備隊的南部。\0	97	u,古戰場\0
114	1	55	0	168217.00000000	37990.00000000	-4072.00000000	u,保留著被遺忘的巨人的遺物之地。有關下巨人遺蹟的遺物都保存在這個地方。\0	97	u,忘卻平原\0
115	1	74	0	170838.00000000	55776.00000000	-5280.00000000	u,在巨人洞穴下方的小小盆地。由於被巨人洞穴這個巨大的遺蹟之傳聞所遮掩，因此未能得到他人的注目。但是那裡也保留著被遺忘的古代人之痕跡，而這消息已悄然傳開在享受刺激的冒險家們之間。\0	97	u,寂靜之谷\0
116	1	40	0	114306.00000000	86573.00000000	-3112.00000000	u,獵人村莊南部的峽谷。主要是由獵人在活動的地區，存在著很多龐大且強悍的怪物。\0	97	u,獵人之谷\0
117	1	45	0	135580.00000000	19467.00000000	-3424.00000000	u,位於亞丁城西部的平原。在過去當亞丁城進行攻防戰的時候，最終讓亞丁城人民戰勝艾爾摩的地方。如今卻棲息著一些賽勒諾斯。\0	97	u,榮耀的平原\0
118	1	55	0	183543.00000000	-14974.00000000	-2768.00000000	u,毀壞的城堡外部的激戰地區。為了佔據城堡，艾爾摩軍隊使用了毒藥，之後這裡就成了無數的不死生物在漂泊的地方。\0	97	u,殺戮的大地\0
